jahr,krankenkasse_x,quartal,mitglieder,versicherte,zusatzbeitrag,kasse_clean,krankenkasse_y,marktanteil versicherte,marktanteil mitglieder,insured_lag,churn_rate,zusatzbeitrag_lag,treatment_flag,morbidity_index,Mitglied/Kunde einer Krankenkasse/Krankenversicherung,zusatzbeitrag_avg,propensity_score,treatment
2016,actimonda Krankenkasse,1,86933,121397,1.0,actimonda krankenkasse,actimonda krankenkasse,0.0017647366575706,0.001642817723494,120512.0,-0.0073436670207116,0.7,True,0.7887908138846544,,0.964970617772008,0.06250320052234343,1
2020,actimonda Krankenkasse,1,93583,125678,1.4,actimonda krankenkasse,actimonda krankenkasse,0.0016597858361847,0.0015914852816791,126567.0,0.0070239477904983,1.0,True,0.8683771003576015,,1.0725714285714285,0.03788201553001806,1
2016,AOK Bayern,1,3384168,4339287,1.1,aok bayern,AOK Bayern,0.0618759088148215,0.0625620480242819,4348718.0,0.0021686851159353,0.9,True,1.042804999786472,,0.964970617772008,0.01113196036455619,1
2022,AOK Bayern,1,3592146,4578978,1.3,aok bayern,AOK Bayern,0.0631170655753531,0.0631665251775396,4585972.0,0.0015250856307016,1.1,True,1.011747686846629,,1.2747422680412372,0.00835159377675886,1
2023,AOK Bayern,1,3641782,4647912,1.58,aok bayern,AOK Bayern,0.0631922823417326,0.0631539840395532,4640434.0,-0.0016114872014126,1.3,True,1.0,AOK Bayern,1.4433272837265578,0.005992933953593671,1
2025,AOK Bayern,1,3627408,4603276,2.69,aok bayern,AOK Bayern,0.0623201922228357,0.0624885499825992,4625353.0,0.0047730411062679,1.58,True,0.9897709593613556,,2.9382978723404256,0.0016855583111797386,1
2016,AOK Hessen,1,1171519,1560692,1.1,aok hessen,AOK Hessen,0.0222755857283342,0.021660761805103,1556276.0,-0.0028375429551056,0.9,True,1.105691016005847,,0.964970617772008,0.02749703214723753,1
2021,AOK Hessen,1,1264700,1699714,1.3,aok hessen,AOK Hessen,0.0233392587148127,0.0221984195730664,1702857.0,0.0018457216313524,0.9,True,1.0,,1.2246601941747572,0.022595935340193003,1
2022,AOK Hessen,1,1257753,1691285,1.5,aok hessen,AOK Hessen,0.0233119429928399,0.0221138810114219,1695363.0,0.0024053845695582,1.3,True,0.9939692382615496,,1.2747422680412372,0.01813539229978017,1
2023,AOK Hessen,1,1277479,1723328,1.6,aok hessen,AOK Hessen,0.0234195081580964,0.0221138114603856,1715553.0,-0.0045320663366273,1.5,True,0.99,AOK Hessen,1.4433272837265578,0.016120803305685497,1
2025,AOK Hessen,1,1281555,1730176,2.49,aok hessen,AOK Hessen,0.0235251566809304,0.0221703879478326,1732548.0,0.001369081837848,1.6,True,0.9736729678126018,,2.9382978723404256,0.00584804125406751,1
2021,AOK Niedersachsen,1,2195736,2888262,1.3,aok niedersachsen,AOK Niedersachsen,0.0400004158199013,0.0388555216351716,2885300.0,-0.0010265830242955,0.8,True,0.99,,1.2246601941747572,0.01521890940368801,1
2023,AOK Niedersachsen,1,2277487,2998753,1.5,aok niedersachsen,AOK Niedersachsen,0.0409968051260876,0.0396410602562936,2982483.0,-0.0054551861653528,1.3,True,0.97,AOK Niedersachsen,1.4433272837265578,0.01189188924654871,1
2025,AOK Niedersachsen,1,2324317,3058918,2.7,aok niedersachsen,AOK Niedersachsen,0.0415573517122139,0.0401413568989594,3065610.0,0.0021829260734405,1.5,True,0.9383369421761234,,2.9382978723404256,0.0029747382547298026,1
2021,AOK Nordost,1,1412194,1720337,1.5,aok nordost,AOK Nordost,0.0235668968968918,0.0246962761683092,1726885.0,0.0037917985274062,0.9,True,1.27,,1.2246601941747572,0.014561576606050291,1
2022,AOK Nordost,1,1387304,1696386,1.7,aok nordost,AOK Nordost,0.0231758657102196,0.0241080666848296,1705899.0,0.005576531787638,1.5,True,1.230620465225294,,1.2747422680412372,0.012022957176519753,1
2023,AOK Nordost,1,1375153,1695661,1.9,aok nordost,AOK Nordost,0.0228840166571821,0.0236205278469168,1695393.0,-0.0001580754432748,1.7,True,1.24,AOK Nordost,1.4433272837265578,0.009526562787630125,1
2024,AOK Nordost,1,1352395,1672400,2.7,aok nordost,AOK Nordost,0.0222324313606781,0.0228044915432244,1680835.0,0.0050183390993167,1.9,True,1.23,AOK Nordost,1.6360739436619718,0.0038411377930784424,1
2025,AOK Nordost,1,1303932,1619468,3.5,aok nordost,AOK Nordost,0.0217480894184945,0.0221218357323849,1631288.0,0.0072458082202529,2.7,True,1.215860851230609,,2.9382978723404256,0.0015672714289816255,1
2016,AOK NordWest,1,2058879,2734858,1.1,aok nordwest,AOK NORDWEST,0.0390491154434096,0.038061300701522,2735813.0,0.0003490735660661,0.9,True,1.040653368789672,,0.964970617772008,0.019355520696921195,1
2021,AOK NordWest,1,2174680,2887476,1.3,aok nordwest,AOK NORDWEST,0.0398395966004908,0.038366755128194,2893346.0,0.0020287929615054,0.9,True,1.04,,1.2246601941747572,0.014613244099900556,1
2022,AOK NordWest,1,2184637,2894923,1.7,aok nordwest,AOK NORDWEST,0.0398985132452083,0.0383755442780608,2899778.0,0.001674266098991,1.3,True,1.042417432381955,,1.2747422680412372,0.009206593721986199,1
2023,AOK NordWest,1,2214070,2946825,1.89,aok nordwest,AOK NORDWEST,0.0400834943203979,0.0383617655772925,2934331.0,-0.0042578700221617,1.7,True,1.03,AOK Nordwest,1.4433272837265578,0.0073831446809052405,1
